# Supplier-commodity combination of all 6 major global regions
# This is the most frequently used international supply chain framework
# Format: Supplier_Name, Commodity_Name, Country, Supplier_Tier, Industry_Sector

East Asia and Pacific: 
"BYD Battery Co.", "Blade lithium batteries", "China", 1, "Energy"
"BYD Semiconductor", "Automotive-grade semiconductors", "China", 1, "Semiconductors"
"Haier Smart Home", "Electric vehicles", "China", 1, "Automotive"
"Haier COSMOplat Internet of Things Ecological Technology Co., Ltd.", "IoT-enabled smart manufacturing components", "China", 1, "Industrial IoT"

South Asia:
"Tata Motors", "Commercial vehicles and parts", "India", 1, "Automotive"
"Tata Steel", "Automotive steel", "India", 1, "Steel/Materials"
"Reliance Industries Limited", "Polypropylene, Polyethylene, PTA (petrochemicals and polymers)", "India", 1, "Petrochemicals"
"Reliance Industries Limited", "Refined petroleum products (oil refining)", "India", 1, "Energy/Refining"
"Adani Group (Adani Wilmar JV)", "Edible oils (refined palm and soybean oil), packaged foods", "India", 1, "Agribusiness/Food"
"Adani Group (Adani Enterprises)", "Coal (mining and trading), thermal coal", "India", 1, "Mining/Energy"
"Tata Steel Limited", "Hot-rolled, cold-rolled steel, steel plates", "India", 1, "Steel and Materials"
"JSW Steel Limited", "Flat steel, long steel, galvanized/galvalume products", "India", 1, "Steel and Materials"
"Vedanta Limited", "Aluminium, zinc, copper, iron ore", "India", 1, "Mining and Metals"
"Vedanta Aluminium", "Aluminium billets, ingots, rolled products", "India", 1, "Aluminium/Metals"
"NTPC Limited", "Electricity generation (thermal, renewable)", "India", 1, "Energy"
"Tata Motors Limited", "Commercial vehicles, passenger vehicles and parts", "India", 1, "Automotive"
"Mahindra and Mahindra", "Tractors, commercial vehicles, automotive parts", "India", 1, "Automotive/Agriculture"
"Mahindra Steel/Mahindra Group suppliers", "Chassis, steel components", "India", 2, "Automotive Suppliers"
"JSW Energy", "Power generation (renewables and thermal)", "India", 1, "Energy"
"ONGC (Oil and Natural Gas Corporation)", "Crude oil and natural gas", "India", 1, "Oil and Gas"
"Indian Oil Corporation (IOC)", "Refined petroleum products, fuels", "India", 1, "Oil and Gas/Refining"
"BPCL (Bharat Petroleum Corporation Ltd.)", "Refined fuels, lubricants", "India", 1, "Oil and Gas"
"Coromandel International (Murugappa Group)", "Phosphate and potash fertilizers", "India", 1, "Agrochemicals/Fertilizers"
"UPL Limited", "Crop protection chemicals, agrochemicals", "India", 1, "Agrochemical"
"JSW Paints/Jindal groups (industrial chemicals suppliers)", "Industrial coatings, pigments", "India", 2, "Chemicals"
"Ambuja Cements (Adani Group)", "Portland cement, clinker", "India", 1, "Cement/Construction"
"UltraTech Cement", "Cement, ready-mix concrete", "India", 1, "Cement"
"Mahindra Logistics/Blue Dart (logistics suppliers)", "Freight and logistics services", "India", 2, "Logistics"
"Biocon Limited", "Pharmaceuticals and active pharma ingredients (APIs)", "India", 1, "Pharmaceuticals"
"Cipla Limited", "Pharmaceutical formulations and APIs", "India", 1, "Pharmaceuticals"
"Bajaj Auto", "Motorcycles, three-wheelers, spare parts", "India", 1, "Automotive"
"TVS Motor Company", "Motorcycles, auto components", "India", 1, "Automotive"
"Grasim Industries (Aditya Birla Group)", "Viscose fibers, cement, chemicals", "India", 1, "Textiles/Materials"
"Shree Renuka Sugars/Balrampur Chini Mills", "Raw sugar, refined sugar", "India", 1, "Agriculture/Sugar"
"ITC Limited", "Processed foods, packaged goods, agri commodities", "India", 1, "FMCG/Agribusiness"
"Amul (Gujarat Cooperative Milk Marketing Federation)", "Milk powder, dairy products", "India", 1, "Dairy/Food"
"BD Foods Limited", "Processed foods, spices, frozen foods, bakery products", "Bangladesh", 1, "Food Processing"
"BEXIMCO Textiles", "Cotton and polyester woven fabrics, garments", "Bangladesh", 1, "Textiles and Apparel"
"Square Pharmaceuticals", "Pharmaceutical formulations, APIs", "Bangladesh", 1, "Pharmaceuticals"
"Renata Limited (Bangladesh)", "Pharmaceuticals and nutritional products", "Bangladesh", 1, "Pharmaceuticals"
"PRAN-RFL Group", "Processed foods, beverages, edible oils (packaged foods)", "Bangladesh", 1, "Food and Beverage"
"DBL Group (Bangladesh)", "Textile manufacturing (knitwear, garments)", "Bangladesh", 2, "Textiles and Apparel"
"Bangladesh Knitwear Manufacturers and Exporters Association (collective suppliers)", "Knitwear garments (export)", "Bangladesh", 2, "Textiles and Apparel"
"Square Textiles/Square Group", "Textile yarns, fabrics, garments", "Bangladesh", 1, "Textiles and Apparel"
"Golden Harvest (Bangladesh)", "Frozen foods, seafood processing", "Bangladesh", 2, "Food Processing"
"Akij Group (Bangladesh)", "Cigarettes, textiles, food products", "Bangladesh", 2, "FMCG"
"Engro Corporation", "Fertilizers (urea, DAP), petrochemicals, food", "Pakistan", 1, "Fertilizers/Petrochemicals"
"Engro Fertilizers", "Urea, specialty fertilizers", "Pakistan", 1, "Fertilizers"
"Lucky Cement Limited", "Cement, clinker", "Pakistan", 1, "Cement"
"Dolmen Group (Pakistan)/Millat Tractors", "Tractors, agricultural machinery", "Pakistan", 2, "Machinery/Agriculture"
"Pakistan State Oil (PSO)", "Refined petroleum products", "Pakistan", 1, "Oil and Gas"
"Nishat Mills Limited", "Textiles, yarns, fabric and garments", "Pakistan", 1, "Textiles/Apparel"
"Unilever Pakistan", "Packaged consumer goods (personal care, foods)", "Pakistan", 1, "FMCG"
"Hayleys PLC", "Tea exports, rubber, agriculture and industrial inputs", "Sri Lanka", 1, "Agribusiness/Exports"
"Dilmah Ceylon Tea Company", "Ceylon tea (black tea, specialty teas)", "Sri Lanka", 1, "Tea/Agribusiness"
"John Keells Holdings (Sri Lanka)", "Consumer goods, transportation, plantations (tea)", "Sri Lanka", 1, "Conglomerate/Exports"
"Hemas Holdings PLC", "Pharmaceuticals, consumer goods, agro products", "Sri Lanka", 2, "FMCG/Pharma"
"Dairy and poultry suppliers – Ceylon Agro Industries", "Processed dairy and poultry products", "Sri Lanka", 2, "Food Processing"
"Haycarb PLC (Sri Lanka)", "Activated carbon (coconut shell) for filtration", "Sri Lanka", 1, "Chemicals/Activated Carbon"
"CG Corp Global (Chaudhary Group)", "CG Foods – snacks, edible oils, packaged foods", "Nepal", 1, "Food Processing/FMCG"
"Chaudhary Group (CG Cement)", "Cement and building materials", "Nepal", 2, "Construction Materials"
"Surya Nepal Private Ltd.", "Confectionery and beverages (local FMCG)", "Nepal", 2, "FMCG"
"Shivam Autotech/Nepal vehicle assemblers (local suppliers)", "Two and three-wheeler components", "Nepal", 2, "Automotive Components"
"Druk Holding and Investments (DHI)", "Hydropower projects, energy investments (utility scale)", "Bhutan", 1, "Energy/Investment"
"Bhutan Power Corporation (BPC) suppliers", "Hydropower equipment, transmission components", "Bhutan", 2, "Energy Equipment"
"Green Bhutan Agriculture exporters (cardamom, citrus)", "Cardamom, citrus, horticultural exports", "Bhutan", 2, "Agriculture/Horticulture"
"Maldives Industrial Fisheries Company (MIFCO)", "Frozen tuna, tuna loins, canned tuna", "Maldives", 1, "Seafood/Fisheries"
"Ocean of Maldives exporters/local fisheries", "Frozen fish, tuna loins, fish meal", "Maldives", 2, "Fisheries"
"Afghan Fruits Ltd./Afghan exporters (examples)", "Dried fruits (saffron, dried apricots, nuts)", "Afghanistan", 2, "Agriculture/Dried Fruits"
"Kabul Saffron exporters (collective traders)", "Saffron (export-quality)", "Afghanistan", 2, "Spices/Agriculture"
"National Commodity and Derivatives Exchange (local traders)", "Wheat, almonds, dried fruit trade", "Afghanistan", 2, "Agricultural Trade"
"Ruma (Sri Lanka) coconut oil exporters", "Virgin coconut oil, coconut derivatives", "Sri Lanka", 2, "Agriculture/Oils"
"Pran-RFL Group (Bangladesh)", "Packaged foods, edible oils, beverages", "Bangladesh", 1, "Food and Beverage"
"BRAC Enterprises (Bangladesh)", "Smallholder agri inputs, processed goods", "Bangladesh", 2, "Agri Inputs/Social Enterprise"
"AkzoNobel local distributors (India/South Asia)", "Paints, coatings, industrial chemicals (distributor)", "India", 2, "Chemicals/Coatings"
"Godrej and Boyce/Godrej Consumer Products", "Household products, edible oils, furniture components", "India", 1, "FMCG/Manufacturing"
"Asian Paints", "Decorative paints, industrial coatings", "India", 1, "Chemicals/Paints"
"Blue Star Limited", "Air conditioning equipment and compressors (commercial HVAC)", "India", 2, "HVAC/Components"

North America:
"Intel Corporation", "Microprocessors and chipsets", "United States", 1, "Semiconductors"
"Advanced Micro Devices (AMD)", "CPUs and GPUs", "United States", 1, "Semiconductors"
"NVIDIA Corporation", "GPUs and AI accelerators", "United States", 1, "Semiconductors"
"Qualcomm", "Mobile chipsets and communication processors", "United States", 1, "Semiconductors"
"Micron Technology", "Memory chips (DRAM, NAND)", "United States", 1, "Semiconductors"
"Broadcom Inc.", "Networking chips and RF components", "United States", 1, "Semiconductors"
"Texas Instruments", "Analog ICs and embedded processors", "United States", 1, "Semiconductors"
"GlobalFoundries", "Semiconductor wafer fabrication", "United States", 1, "Semiconductors"
"Apple Inc.", "Consumer electronics (iPhones, iPads, Macs)", "United States", 1, "Electronics"
"Dell Technologies", "Computers, servers, storage devices", "United States", 1, "Electronics/IT"
"HP Inc.", "Laptops, printers, accessories", "United States", 1, "Electronics/IT"
"Cisco Systems", "Networking equipment and routers", "United States", 1, "Networking/IT"
"IBM Corporation", "Servers, enterprise hardware", "United States", 1, "IT/Enterprise Solutions"
"Tesla Inc.", "Electric vehicles and battery packs", "United States", 1, "Automotive/EV"
"General Motors (GM)", "Automobiles and automotive components", "United States", 1, "Automotive"
"Ford Motor Company", "Automobiles and auto parts", "United States", 1, "Automotive"
"Rivian Automotive", "Electric vehicles", "United States", 1, "Automotive/EV"
"Lucid Motors", "Luxury electric vehicles", "United States", 1, "Automotive/EV"
"ExxonMobil", "Crude oil, natural gas, refined fuels", "United States", 1, "Oil and Gas"
"Chevron Corporation", "Crude oil, LNG, refined fuels", "United States", 1, "Oil and Gas"
"ConocoPhillips", "Crude oil and natural gas", "United States", 1, "Oil and Gas"
"Halliburton", "Oilfield services and drilling equipment", "United States", 2, "Oilfield Services"
"Schlumberger", "Oilfield technology and services", "United States", 2, "Oilfield Services"
"Cargill", "Grains, oilseeds, meat products", "United States", 1, "Agriculture/Food"
"Archer Daniels Midland (ADM)", "Soybeans, corn products, edible oils", "United States", 1, "Agriculture/Food"
"Tyson Foods", "Poultry, beef, pork products", "United States", 1, "Food Processing"
"JBS USA", "Beef and pork processing", "United States", 1, "Food Processing"
"General Mills", "Packaged foods", "United States", 1, "FMCG"
"Kellogg's", "Breakfast cereals and snacks", "United States", 1, "FMCG"
"Procter and Gamble (PandG)", "Consumer goods (household and personal care)", "United States", 1, "FMCG"
"Johnson and Johnson", "Pharmaceuticals and medical devices", "United States", 1, "Pharmaceuticals"
"Pfizer Inc.", "Pharmaceutical products", "United States", 1, "Pharmaceuticals"
"Moderna", "mRNA vaccines and biotech products", "United States", 1, "Biotechnology"
"AbbVie", "Pharmaceuticals and biologics", "United States", 1, "Pharmaceuticals"
"3M Company", "Industrial materials and adhesives", "United States", 1, "Industrial Manufacturing"
"Caterpillar Inc.", "Construction machinery and engines", "United States", 1, "Heavy Machinery"
"John Deere (Deere and Company)", "Agricultural machinery and equipment", "United States", 1, "Machinery/Agriculture"
"Deere and Company", "Tractors and harvesters", "United States", 1, "Agriculture Machinery"
"Nucor Corporation", "Steel products", "United States", 1, "Steel and Materials"
"U.S. Steel (United States Steel Corp.)", "Steel sheets and billets", "United States", 1, "Steel and Materials"
"Alcoa Corporation", "Aluminum products", "United States", 1, "Metals"
"Lockheed Martin", "Aerospace systems and defense equipment", "United States", 1, "Aerospace/Defense"
"Raytheon Technologies", "Defense systems and avionics", "United States", 1, "Defense"
"Northrop Grumman", "Aerospace systems and UAVs", "United States", 1, "Aerospace/Defense"
"Boeing", "Commercial aircraft and aerospace components", "United States", 1, "Aerospace"
"Amazon Basics (Amazon)", "Consumer electronics and appliances", "United States", 1, "Retail/Consumer"
"Costco Wholesale", "Bulk retail packaged goods", "United States", 1, "Retail"
"Walmart Inc.", "Consumer packaged goods", "United States", 1, "Retail/FMCG"
"Bombardier Inc.", "Regional aircraft and rail products", "Canada", 1, "Aerospace/Transportation"
"Magna International", "Automotive systems and components", "Canada", 1, "Automotive"
"Barrick Gold Corporation", "Gold and copper mining", "Canada", 1, "Mining"
"Suncor Energy", "Crude oil, bitumen, oil sands", "Canada", 1, "Oil and Gas"
"Canadian Natural Resources (CNRL)", "Crude oil and natural gas", "Canada", 1, "Oil and Gas"
"Nutrien Ltd.", "Potash, nitrogen fertilizers", "Canada", 1, "Fertilizers"
"Maple Leaf Foods", "Processed meat products", "Canada", 1, "Food Processing"
"Saputo Inc.", "Dairy products", "Canada", 1, "Food Processing"
"Bombardier Recreational Products (BRP)", "Power-sports vehicles", "Canada", 1, "Automotive/Equipment"
"CN Rail (Canadian National Railway)", "Rail freight logistics", "Canada", 2, "Logistics/Transportation"

Europe and Central Asia:
"Volkswagen Group", "Automobiles and automotive components", "Germany", 1, "Automotive"
"BMW Group", "Passenger vehicles, engines, EV components", "Germany", 1, "Automotive"
"Mercedes-Benz Group", "Luxury vehicles, powertrains", "Germany", 1, "Automotive"
"Bosch", "Automotive electronics, sensors, components", "Germany", 1, "Automotive/Electronics"
"Siemens AG", "Industrial automation equipment, turbines", "Germany", 1, "Industrial Manufacturing"
"BASF", "Chemicals, plastics, specialty materials", "Germany", 1, "Chemicals"
"Airbus", "Commercial aircraft and aerospace components", "France", 1, "Aerospace"
"TotalEnergies", "Refined fuels, petrochemicals", "France", 1, "Oil and Gas"
"L'Oréal", "Cosmetics and personal care products", "France", 1, "FMCG"
"Danone", "Dairy products, packaged foods", "France", 1, "FMCG"
"STMicroelectronics", "Semiconductors, microcontrollers", "France", 1, "Semiconductors"
"Nestlé", "Packaged foods and beverages", "Switzerland", 1, "FMCG"
"Novartis", "Pharmaceuticals", "Switzerland", 1, "Pharmaceutical"
"Glencore", "Copper, cobalt, zinc, commodities trading", "Switzerland", 1, "Mining/Commodities"
"ABB Group", "Industrial robotics, control systems", "Switzerland", 1, "Industrial Manufacturing"
"AstraZeneca", "Pharmaceutical products", "United Kingdom", 1, "Pharmaceutical"
"Unilever Europe", "FMCG (foods, personal care, cleaning products)", "United Kingdom", 1, "FMCG"
"Rolls-Royce", "Aerospace engines", "United Kingdom", 1, "Aerospace"
"BAE Systems", "Defense systems, armored vehicles", "United Kingdom", 1, "Defense"
"Rio Tinto Europe", "Iron ore, aluminum, copper", "United Kingdom", 1, "Mining/Metals"
"Volvo Group", "Commercial vehicles, engines", "Sweden", 1, "Automotive"
"Ericsson", "Telecom equipment, 5G hardware", "Sweden", 1, "Telecommunications"
"IKEA Industry", "Furniture components, wood materials", "Sweden", 1, "Furniture/Manufacturing"
"SKF Group", "Bearings and industrial components", "Sweden", 1, "Industrial Components"
"Nokia", "Telecom equipment, network hardware", "Finland", 1, "Telecommunications"
"UPM-Kymmene", "Pulp, timber, paper products", "Finland", 1, "Forestry/Materials"
"Stora Enso", "Biomaterials, fiber-based packaging", "Finland", 1, "Forestry/Packaging"
"Ferrari", "Luxury vehicles", "Italy", 1, "Automotive"
"Fiat (Stellantis)", "Automobiles and components", "Italy", 1, "Automotive"
"Enel", "Electric power generation, renewable energy", "Italy", 1, "Energy"
"Pirelli", "Tires", "Italy", 1, "Automotive"
"ArcelorMittal Europe", "Steel products", "Luxembourg", 1, "Steel/Metals"
"SAP", "Enterprise software, digital infrastructure servers", "Germany", 2, "IT/Software Hardware"
"ThyssenKrupp", "Steel, industrial equipment", "Germany", 1, "Industrial Manufacturing"
"Gazprom", "Natural gas", "Russia", 1, "Oil and Gas"
"Rosneft", "Crude oil and refined fuels", "Russia", 1, "Oil and Gas"
"Norilsk Nickel (Nornickel)", "Nickel, palladium, copper", "Russia", 1, "Mining"
"Rusal (UC Rusal)", "Aluminium products", "Russia", 1, "Metals"
"KazMunayGas", "Crude oil and petroleum products", "Kazakhstan", 1, "Oil and Gas"
"Kazzinc", "Zinc, lead, copper", "Kazakhstan", 1, "Mining"
"ERG (Eurasian Resources Group)", "Ferrochrome, iron ore", "Kazakhstan", 1, "Metals/Mining"
"ArcelorMittal Temirtau", "Steel and iron ore", "Kazakhstan", 1, "Steel/Mining"
"UzAuto Motors", "Automobiles and components", "Uzbekistan", 1, "Automotive"
"Navoi Mining and Metallurgical Co.", "Gold and uranium mining", "Uzbekistan", 1, "Mining"
"Uzbekneftegaz", "Natural gas and petroleum products", "Uzbekistan", 1, "Oil and Gas"
"SOCAR", "Crude oil, natural gas", "Azerbaijan", 1, "Oil and Gas"
"AzerGold", "Gold mining", "Azerbaijan", 1, "Mining"
"Armenian Molybdenum Production", "Molybdenum concentrates", "Armenia", 1, "Metals"
"Grand Candy Armenia", "Confectionery products", "Armenia", 2, "Food Processing"
"Georgian Railways", "Freight logistics", "Georgia", 2, "Logistics"
"Georgian Industrial Group", "Coal, energy generation", "Georgia", 1, "Energy/Mining"
"Turkish Airlines (cargo division)", "Air freight services", "Turkey", 2, "Logistics"
"Ford Otosan", "Automotive manufacturing", "Turkey", 1, "Automotive"
"Tofas (Fiat Turkey)", "Automobiles", "Turkey", 1, "Automotive"
"Erdemir Group", "Flat steel and long steel products", "Turkey", 1, "Steel"
"Petkim", "Petrochemical products", "Turkey", 1, "Petrochemicals"
"Krka", "Pharmaceutical products", "Slovenia", 1, "Pharmaceutical"
"Gorenje", "Home appliances", "Slovenia", 1, "Consumer Electronics"
"Skoda Auto", "Automobiles", "Czech Republic", 1, "Automotive"
"ČEZ Group", "Electric power generation", "Czech Republic", 1, "Energy"
"AGC Czech", "Automotive glass", "Czech Republic", 1, "Glass Manufacturing"
"PKN Orlen", "Refined fuels, petrochemicals", "Poland", 1, "Oil and Gas"
"KGHM Polska Miedź", "Copper, silver", "Poland", 1, "Mining/Metals"
"MOL Group", "Oil and gas products", "Hungary", 1, "Oil and Gas"
"Richter Gedeon", "Pharmaceuticals", "Hungary", 1, "Pharmaceutical"
"Romanian Automotive Manufacturer Automobile Dacia", "Automobiles", "Romania", 1, "Automotive"
"OMV Petrom", "Oil and petroleum products", "Romania", 1, "Oil and Gas"
"Serbia Zijin Bor Copper", "Copper mining", "Serbia", 1, "Mining"
"Tigar Tyres", "Vehicle tires", "Serbia", 1, "Automotive/Components"
"Norsk Hydro", "Aluminium and bauxite products", "Norway", 1, "Metals"
"Equinor", "Oil and natural gas", "Norway", 1, "Energy"
"Maersk", "Shipping and logistics", "Denmark", 2, "Logistics"
"Novo Nordisk", "Pharmaceuticals", "Denmark", 1, "Pharmaceutical"
"Petrofac Kazakhstan suppliers", "Oilfield equipment", "Kazakhstan", 2, "Oilfield Services"
"Samruk-Energy", "Coal-fired power generation", "Kazakhstan", 1, "Energy"

Latin America and Caribbean:
"Vale S.A.", "Iron ore, iron ore pellets, nickel, copper", "Brazil", 1, "Metals and Minings"
"Petrobras", "Crude oil, natural gas, refined fuels", "Brazil", 1, "Oil and Gas"
"JBS S.A.", "Beef, pork and poultry meat products", "Brazil", 1, "Food Processing/Meat"
"Bunge Brasil (Bunge)", "Soybeans, soybean meal, edible oils", "Brazil", 1, "Agribusiness/Oilseeds"
"Cargill Brasil (Cargill)", "Soybeans, grains, vegetable oils, agricultural commodities", "Brazil", 1, "Agribusiness"
"BRF S.A.", "Processed poultry, pork and prepared foods", "Brazil", 1, "Food Processing"
"Marfrig Global Foods", "Beef and packaged meat products", "Brazil", 1, "Food Processing/Meat"
"Minerva Foods", "Beef exports and boxed beef", "Brazil", 1, "Food Processing/Meat"
"Embraer S.A.", "Regional jets and aerospace components", "Brazil", 1, "Aerospace and Defense"
"Gerdau S.A.", "Long steel, rebar, structural steel", "Brazil", 1, "Steel and Materials"
"ArcelorMittal Brasil", "Flat steel, long steel products", "Brazil", 1, "Steel and Materials"
"Suzano Papel e Celulose", "Pulp (eucalyptus pulp) and paper", "Brazil", 1, "Pulp and Paper"
"Klabin S.A.", "Paperboard, kraft paper, packaging", "Brazil", 1, "Pulp and Paper"
"Usiminas", "Steel plates and coils", "Brazil", 1, "Steel and Materials"
"CPFL Energia", "Electricity generation and distribution (power)", "Brazil", 1, "Energy/Utilities"
"Votorantim Cimentos", "Cement, aggregates, concrete", "Brazil", 1, "Cement and Construction Materials"
"Vale Fertilizantes", "Fertilizers (phosphate, potash blends)", "Brazil", 2, "Fertilizers" 
"Petroquímica Braskem", "Polyethylene, polypropylene, PVC (petrochemicals)", "Brazil", 1, "Petrochemicals/Polymers"
"Alpargatas (Havaianas)", "Footwear, rubber soles and components", "Brazil", 2, "Footwear/Consumer Goods"
"Abrafrutas", "Frozen fruits, pulps, fruit concentrates", "Brazil", 2, "Food Processing/Exports"
"Grupo México", "Copper, mining services (copper concentrate)", "Mexico", 1, "Metals and Minings"
"Southern Copper Corporation (Mexico operations)", "Copper concentrate, refined copper", "Mexico", 1, "Metals and Minings"
"Cemex", "Cement, aggregates, ready-mix concrete", "Mexico", 1, "Cement and Construction Materials"
"Grupo Bimbo", "Bread, bakery products and flour-based goods", "Mexico", 1, "Food Processing/Bakery"
"Pemex (Petróleos Mexicanos)", "Crude oil and petroleum products", "Mexico", 1, "Oil and Gas"
"Alpek", "PET resin, PTA, polyester fibers (petrochemical products)", "Mexico", 1, "Petrochemicals and Polymers"
"Nemak", "Aluminum engine blocks and automotive components", "Mexico", 1, "Automotive Components"
"Nemex", "Stamped, molded auto parts (tier suppliers)", "Mexico", 2, "Automotive Suppliers"
"Femsa", "Beverages (bottling Coca-Cola FEMSA), packaging materials", "Mexico", 1, "Beverages/Packaging"
"Gruma", "Corn masa and flour products", "Mexico", 1, "Food Processing/Ingredients"
"Arca Continental", "Bottled beverages; beverage concentrate and packaging", "Mexico", 1, "Beverages"
"Grupo Alfa (Alpek subsidiary)", "Synthetic fibers, chemical intermediates", "Mexico", 2, "Chemicals/Fibers"
"YPF", "Crude oil, natural gas, refined fuels, petrochemicals", "Argentina", 1, "Oil and Gas"
"Tenaris", "Seamless steel pipes for oil and gas", "Argentina", 1, "Steel/Industrial Pipes"
"Techint Group", "Steel products, industrial steel, pipes", "Argentina", 1, "Steel and Heavy Industry"
"Arcor", "Confectionery, sugar, processed food products", "Argentina", 1, "Food Processing/FMCG"
"Loma Negra", "Cement and cement clinker", "Argentina", 1, "Cement and Construction Materials"
"ADECOAGRO", "Agricultural commodities: grains, sugar, dairy and bioenergy", "Argentina", 1, "Agribusiness/Farming"
"Molinos Rio de la Plata", "Packaged food ingredients, wheat flour, edible oils", "Argentina", 1, "Food Processing"
"SQM (Sociedad Química y Minera de Chile)", "Lithium carbonate, potassium nitrate, iodine", "Chile", 1, "Mining and Specialty Chemicals"
"Codelco (Corporación Nacional del Cobre de Chile)", "Copper cathodes, concentrates", "Chile", 1, "Metals and Minings"
"Antofagasta plc", "Copper mining and concentrate", "Chile", 1, "Metals and Minings"
"Anglo American", "Copper, molybdenum, nickel (operations in Chile)", "Chile", 1, "Metals and Minings"
"Enaex", "Mining explosives and blasting systems", "Chile", 2, "Mining Services/Explosives"
"CAP S.A.", "Iron ore, steelmaking (Chile-based steel)", "Chile", 1, "Mining and Steel"
"Collahuasi", "Copper concentrate", "Chile", 1, "Metals and Minings"
"Southern Copper", "Copper concentrate, refined copper", "Peru", 1, "Metals and Minings"
"Compañía de Minas Buenaventura", "Gold, silver and base metals mining", "Peru", 1, "Mining"
"Cerro Verde", "Copper concentrate and molybdenum (Peru)", "Peru", 1, "Metals and Minings"
"Minsur S.A.", "Tin concentrate and refining (Mina Justa/San Rafael)", "Peru", 1, "Mining (Tin)"
"Volcan Compañía Minera", "Zinc, lead and silver concentrates", "Peru", 1, "Metals and Minings"
"Glencore Peru", "Zinc and copper concentrates trading and exports", "Peru", 1, "Commodities Trading/Metals"
"Ecopetrol", "Crude oil, natural gas, refined products (Colombia)", "Colombia", 1, "Oil and Gas"
"Grupo Nutresa", "Processed foods, chocolate, coffee, cold cuts", "Colombia", 1, "Food Processing/FMCG"
"Alpina Productos Alimenticios", "Dairy products, milk powder, cheese", "Colombia", 1, "Dairy/Food Processing"
"Grupo Argos (Cementos Argos)", "Cement, concrete and aggregates", "Colombia", 1, "Cement and Construction Materials"
"Prodeco/Cerrejón (coal)", "Thermal coal production and exports", "Colombia", 1, "Coal/Mining"
"Ecuacorriente (Explorera)/Lundin Ecuador partners", "Copper concentrate (Ecuador mining projects)", "Ecuador", 2, "Mining/Metals"
